property_id,latitude,longitude,park,gym,shop
4e89411150e4c9ca176f19d499ce8202,51.5104535,-0.193299,Diana Memorial Playground,QUEENS skate dine bowl,Whole Foods Market
4ad3b4533eeefc2a90509e67d6d61352,51.52654339999999,-0.1234621,Russell Square,Pancras Square Leisure,Lidl
3e0601e16bc2eb5304056fdb81ffc25a,51.52078700000001,-0.17208,Rembrandt Gardens,Royal Lancaster London,ALDI
edd848c75c1fee12c291e3994e6be2b7,51.5098238,-0.227274,No park,Westway Sports & Fitness Centre,Lidl
81280ade578dd1f134dc88442e4fbf9e,51.492252,-0.1445238,Buckingham Palace Garden,Park Plaza Victoria London,Sainsbury's
b68b85b514e8edf9e3a547703ac75aa8,51.464116,-0.1025749,Ruskin Park,Brixton Recreation Centre,M&S Foodhall
5c63bc66136f382e758f14661d8416ce,51.6039783,-0.2421234,Grahame Park,Barnet Copthall Leisure Centre,Tesco Express
3b91618318864e81e608a3aab6cd48e4,51.4884755,-0.293828,Elizabeth Gate into Kew Gardens,"Energie Fitness Brentford-Prices from £14.99 per month! Use promo code ""HALFPRICE""",Sainsbury's Local
2fcade47c6c72d4b79615493ac115b97,51.5136325,-0.0088074,Langdon Park,The Lansbury Heritage A Sunday Hotel - Canary Wharf,Tesco Express
f623b21a09db3a813a02c732ce1a5468,51.4633745,-0.1066992,Ruskin Park,Brixton Recreation Centre,Tesco Superstore
eb469b41dbb8bd5bfe01f607a32d9d3e,51.5069109,-0.1385186,St James's Park,SweatBox Soho,Marks and Spencer
